,YEAR,STATE,YIELD
404,2008,WISCONSIN,35
405,2009,WISCONSIN,40
406,2010,WISCONSIN,50.5
407,2011,WISCONSIN,47
408,2012,WISCONSIN,42
409,2013,WISCONSIN,39
410,2014,WISCONSIN,44
411,2015,WISCONSIN,49.5
412,2016,WISCONSIN,55
413,2017,WISCONSIN,47.5
414,2018,WISCONSIN,48
415,2019,WISCONSIN,47
416,2020,WISCONSIN,52
417,2021,WISCONSIN,55
418,2022,WISCONSIN,52
