,YEAR,STATE,COMMODITY,YIELD
291,2007,KENTUCKY,CORN,128
292,2008,KENTUCKY,CORN,136
293,2009,KENTUCKY,CORN,165
294,2010,KENTUCKY,CORN,124
295,2011,KENTUCKY,CORN,139
296,2012,KENTUCKY,CORN,68
297,2013,KENTUCKY,CORN,170
298,2014,KENTUCKY,CORN,158
299,2015,KENTUCKY,CORN,172
300,2016,KENTUCKY,CORN,159
301,2017,KENTUCKY,CORN,178
302,2018,KENTUCKY,CORN,175
303,2019,KENTUCKY,CORN,169
304,2020,KENTUCKY,CORN,184
305,2021,KENTUCKY,CORN,192
306,2022,KENTUCKY,CORN,147
307,2001,LOUISIANA,CORN,148
308,2002,LOUISIANA,CORN,121
309,2003,LOUISIANA,CORN,134
310,2004,LOUISIANA,CORN,135
311,2005,LOUISIANA,CORN,136
312,2006,LOUISIANA,CORN,140
313,2007,LOUISIANA,CORN,163
314,2008,LOUISIANA,CORN,144
315,2009,LOUISIANA,CORN,132
316,2010,LOUISIANA,CORN,140
317,2011,LOUISIANA,CORN,135
318,2012,LOUISIANA,CORN,173
319,2013,LOUISIANA,CORN,173
320,2014,LOUISIANA,CORN,183
321,2015,LOUISIANA,CORN,171
322,2016,LOUISIANA,CORN,165
323,2017,LOUISIANA,CORN,184
324,2018,LOUISIANA,CORN,173
325,2019,LOUISIANA,CORN,165
326,2020,LOUISIANA,CORN,181
327,2021,LOUISIANA,CORN,183
328,2022,LOUISIANA,CORN,175
329,2001,MARYLAND,CORN,136
330,2002,MARYLAND,CORN,74
331,2003,MARYLAND,CORN,123
332,2004,MARYLAND,CORN,153
333,2005,MARYLAND,CORN,135
334,2006,MARYLAND,CORN,140
335,2007,MARYLAND,CORN,101
336,2008,MARYLAND,CORN,121
337,2009,MARYLAND,CORN,145
338,2010,MARYLAND,CORN,106
339,2011,MARYLAND,CORN,109
340,2012,MARYLAND,CORN,122
341,2013,MARYLAND,CORN,158
342,2014,MARYLAND,CORN,175
343,2015,MARYLAND,CORN,164
344,2016,MARYLAND,CORN,152
345,2017,MARYLAND,CORN,172
346,2018,MARYLAND,CORN,146
347,2019,MARYLAND,CORN,161
348,2020,MARYLAND,CORN,155
349,2021,MARYLAND,CORN,175
350,2022,MARYLAND,CORN,172
351,2001,MICHIGAN,CORN,105
352,2002,MICHIGAN,CORN,117
353,2003,MICHIGAN,CORN,128
354,2004,MICHIGAN,CORN,134
355,2005,MICHIGAN,CORN,143
356,2006,MICHIGAN,CORN,147
357,2007,MICHIGAN,CORN,123
358,2008,MICHIGAN,CORN,138
359,2009,MICHIGAN,CORN,148
360,2010,MICHIGAN,CORN,149
361,2011,MICHIGAN,CORN,153
362,2012,MICHIGAN,CORN,132
363,2013,MICHIGAN,CORN,155
364,2014,MICHIGAN,CORN,161
365,2015,MICHIGAN,CORN,162
366,2016,MICHIGAN,CORN,157
367,2017,MICHIGAN,CORN,159
368,2018,MICHIGAN,CORN,153
369,2019,MICHIGAN,CORN,147
370,2020,MICHIGAN,CORN,153
371,2021,MICHIGAN,CORN,174
372,2022,MICHIGAN,CORN,170
373,2001,MINNESOTA,CORN,130
374,2002,MINNESOTA,CORN,157
375,2003,MINNESOTA,CORN,146
376,2004,MINNESOTA,CORN,159
377,2005,MINNESOTA,CORN,174
378,2006,MINNESOTA,CORN,161
379,2007,MINNESOTA,CORN,146
380,2008,MINNESOTA,CORN,162
381,2009,MINNESOTA,CORN,174
382,2010,MINNESOTA,CORN,177
383,2011,MINNESOTA,CORN,155
384,2012,MINNESOTA,CORN,165
385,2013,MINNESOTA,CORN,159
386,2014,MINNESOTA,CORN,156
387,2015,MINNESOTA,CORN,188
388,2016,MINNESOTA,CORN,193
389,2017,MINNESOTA,CORN,194
390,2018,MINNESOTA,CORN,182
391,2019,MINNESOTA,CORN,173
392,2020,MINNESOTA,CORN,191
393,2021,MINNESOTA,CORN,178
394,2022,MINNESOTA,CORN,193
417,2001,MISSOURI,CORN,133
418,2002,MISSOURI,CORN,105
419,2003,MISSOURI,CORN,108
420,2004,MISSOURI,CORN,162
421,2005,MISSOURI,CORN,111
422,2006,MISSOURI,CORN,138
423,2007,MISSOURI,CORN,140
424,2008,MISSOURI,CORN,144
425,2009,MISSOURI,CORN,153
426,2010,MISSOURI,CORN,123
427,2011,MISSOURI,CORN,114
428,2012,MISSOURI,CORN,75
429,2013,MISSOURI,CORN,136
430,2014,MISSOURI,CORN,186
431,2015,MISSOURI,CORN,142
432,2016,MISSOURI,CORN,163
433,2017,MISSOURI,CORN,170
434,2018,MISSOURI,CORN,140
435,2019,MISSOURI,CORN,155
436,2020,MISSOURI,CORN,171
437,2021,MISSOURI,CORN,160
438,2022,MISSOURI,CORN,153
439,2001,MONTANA,CORN,148
440,2002,MONTANA,CORN,140
441,2003,MONTANA,CORN,140
442,2004,MONTANA,CORN,143
443,2005,MONTANA,CORN,148
444,2006,MONTANA,CORN,146
445,2007,MONTANA,CORN,140
446,2008,MONTANA,CORN,122
447,2009,MONTANA,CORN,152
448,2010,MONTANA,CORN,135
449,2011,MONTANA,CORN,127
450,2012,MONTANA,CORN,104
451,2013,MONTANA,CORN,115
452,2014,MONTANA,CORN,100
453,2015,MONTANA,CORN,110
454,2016,MONTANA,CORN,100
455,2017,MONTANA,CORN,70
456,2018,MONTANA,CORN,85
457,2019,MONTANA,CORN,95
458,2020,MONTANA,CORN,109
459,2021,MONTANA,CORN,100
460,2001,NEBRASKA,CORN,147
461,2002,NEBRASKA,CORN,128
462,2003,NEBRASKA,CORN,146
463,2004,NEBRASKA,CORN,166
464,2005,NEBRASKA,CORN,154
465,2006,NEBRASKA,CORN,152
466,2007,NEBRASKA,CORN,160
467,2008,NEBRASKA,CORN,163
468,2009,NEBRASKA,CORN,179
469,2010,NEBRASKA,CORN,166
470,2011,NEBRASKA,CORN,160
471,2012,NEBRASKA,CORN,142
472,2013,NEBRASKA,CORN,169
473,2014,NEBRASKA,CORN,179
474,2015,NEBRASKA,CORN,185
475,2016,NEBRASKA,CORN,178
476,2017,NEBRASKA,CORN,181
477,2018,NEBRASKA,CORN,192
478,2019,NEBRASKA,CORN,182
479,2020,NEBRASKA,CORN,180
480,2021,NEBRASKA,CORN,194
481,2022,NEBRASKA,CORN,181
482,2001,NEW JERSEY,CORN,112
483,2002,NEW JERSEY,CORN,61
484,2003,NEW JERSEY,CORN,113
485,2004,NEW JERSEY,CORN,143
486,2005,NEW JERSEY,CORN,122
487,2006,NEW JERSEY,CORN,129
488,2007,NEW JERSEY,CORN,124
489,2008,NEW JERSEY,CORN,116
490,2009,NEW JERSEY,CORN,143
491,2010,NEW JERSEY,CORN,114
492,2011,NEW JERSEY,CORN,123
493,2012,NEW JERSEY,CORN,118
494,2013,NEW JERSEY,CORN,139
495,2014,NEW JERSEY,CORN,157
496,2015,NEW JERSEY,CORN,147
497,2016,NEW JERSEY,CORN,145
498,2017,NEW JERSEY,CORN,167
499,2018,NEW JERSEY,CORN,141
500,2019,NEW JERSEY,CORN,155
501,2020,NEW JERSEY,CORN,156
502,2021,NEW JERSEY,CORN,163
546,2001,NORTH CAROLINA,CORN,125
547,2002,NORTH CAROLINA,CORN,83
548,2003,NORTH CAROLINA,CORN,106
549,2004,NORTH CAROLINA,CORN,117
550,2005,NORTH CAROLINA,CORN,120
551,2006,NORTH CAROLINA,CORN,132
552,2007,NORTH CAROLINA,CORN,100
553,2008,NORTH CAROLINA,CORN,78
554,2009,NORTH CAROLINA,CORN,117
555,2010,NORTH CAROLINA,CORN,91
556,2011,NORTH CAROLINA,CORN,84
557,2012,NORTH CAROLINA,CORN,117
558,2013,NORTH CAROLINA,CORN,142
559,2014,NORTH CAROLINA,CORN,132
560,2015,NORTH CAROLINA,CORN,113
561,2016,NORTH CAROLINA,CORN,129
562,2017,NORTH CAROLINA,CORN,142
563,2018,NORTH CAROLINA,CORN,113
564,2019,NORTH CAROLINA,CORN,111
565,2020,NORTH CAROLINA,CORN,113
566,2021,NORTH CAROLINA,CORN,149
567,2022,NORTH CAROLINA,CORN,108
590,2001,OHIO,CORN,138
591,2002,OHIO,CORN,89
592,2003,OHIO,CORN,156
593,2004,OHIO,CORN,158
594,2005,OHIO,CORN,143
595,2006,OHIO,CORN,159
596,2007,OHIO,CORN,150
597,2008,OHIO,CORN,131
598,2009,OHIO,CORN,171
599,2010,OHIO,CORN,160
600,2011,OHIO,CORN,153
601,2012,OHIO,CORN,120
602,2013,OHIO,CORN,174
603,2014,OHIO,CORN,176
604,2015,OHIO,CORN,153
605,2016,OHIO,CORN,159
606,2017,OHIO,CORN,177
607,2018,OHIO,CORN,187
608,2019,OHIO,CORN,164
609,2020,OHIO,CORN,171
610,2021,OHIO,CORN,193
611,2022,OHIO,CORN,190
634,2001,OREGON,CORN,140
635,2002,OREGON,CORN,160
636,2003,OREGON,CORN,170
637,2004,OREGON,CORN,170
638,2005,OREGON,CORN,160
639,2006,OREGON,CORN,180
640,2007,OREGON,CORN,200
641,2008,OREGON,CORN,195
642,2009,OREGON,CORN,215
643,2010,OREGON,CORN,200
644,2011,OREGON,CORN,215
645,2012,OREGON,CORN,205
646,2013,OREGON,CORN,188
647,2014,OREGON,CORN,190
648,2015,OREGON,CORN,188
649,2016,OREGON,CORN,230
650,2017,OREGON,CORN,212
651,2018,OREGON,CORN,195
652,2019,OREGON,CORN,237
653,2020,OREGON,CORN,241
654,2021,OREGON,CORN,240
661,2001,PENNSYLVANIA,CORN,98
662,2002,PENNSYLVANIA,CORN,68
663,2003,PENNSYLVANIA,CORN,115
664,2004,PENNSYLVANIA,CORN,140
665,2005,PENNSYLVANIA,CORN,122
666,2006,PENNSYLVANIA,CORN,122
667,2007,PENNSYLVANIA,CORN,124
668,2008,PENNSYLVANIA,CORN,133
669,2009,PENNSYLVANIA,CORN,142
670,2010,PENNSYLVANIA,CORN,128
671,2011,PENNSYLVANIA,CORN,111
672,2012,PENNSYLVANIA,CORN,131
673,2013,PENNSYLVANIA,CORN,146
674,2014,PENNSYLVANIA,CORN,154
675,2015,PENNSYLVANIA,CORN,147
676,2016,PENNSYLVANIA,CORN,129
677,2017,PENNSYLVANIA,CORN,161
678,2018,PENNSYLVANIA,CORN,140
679,2019,PENNSYLVANIA,CORN,153
680,2020,PENNSYLVANIA,CORN,138
681,2021,PENNSYLVANIA,CORN,169
682,2022,PENNSYLVANIA,CORN,158
727,2001,TENNESSEE,CORN,132
728,2002,TENNESSEE,CORN,107
729,2003,TENNESSEE,CORN,131
730,2004,TENNESSEE,CORN,140
731,2005,TENNESSEE,CORN,130
732,2006,TENNESSEE,CORN,125
733,2007,TENNESSEE,CORN,106
734,2008,TENNESSEE,CORN,118
735,2009,TENNESSEE,CORN,148
736,2010,TENNESSEE,CORN,117
737,2011,TENNESSEE,CORN,131
738,2012,TENNESSEE,CORN,85
739,2013,TENNESSEE,CORN,156
740,2014,TENNESSEE,CORN,168
741,2015,TENNESSEE,CORN,160
742,2016,TENNESSEE,CORN,151
743,2017,TENNESSEE,CORN,171
744,2018,TENNESSEE,CORN,168
745,2019,TENNESSEE,CORN,177
746,2020,TENNESSEE,CORN,170
747,2021,TENNESSEE,CORN,170
748,2022,TENNESSEE,CORN,130
749,2001,TEXAS,CORN,118
750,2002,TEXAS,CORN,113
751,2003,TEXAS,CORN,118
752,2004,TEXAS,CORN,139
753,2005,TEXAS,CORN,114
754,2006,TEXAS,CORN,121
755,2007,TEXAS,CORN,148
756,2008,TEXAS,CORN,118
757,2009,TEXAS,CORN,124
758,2010,TEXAS,CORN,144
759,2011,TEXAS,CORN,91
760,2012,TEXAS,CORN,129
761,2013,TEXAS,CORN,136
762,2014,TEXAS,CORN,148
763,2015,TEXAS,CORN,135
764,2016,TEXAS,CORN,127
765,2017,TEXAS,CORN,140
766,2018,TEXAS,CORN,108
767,2019,TEXAS,CORN,133
768,2020,TEXAS,CORN,128
769,2021,TEXAS,CORN,128
770,2022,TEXAS,CORN,120
771,2001,UTAH,CORN,142
772,2002,UTAH,CORN,142
773,2003,UTAH,CORN,155
774,2004,UTAH,CORN,155
775,2005,UTAH,CORN,163
776,2006,UTAH,CORN,157
777,2007,UTAH,CORN,150
778,2008,UTAH,CORN,157
779,2009,UTAH,CORN,150
780,2010,UTAH,CORN,178
781,2011,UTAH,CORN,164
782,2012,UTAH,CORN,167
783,2013,UTAH,CORN,170
784,2014,UTAH,CORN,160
785,2015,UTAH,CORN,173
786,2016,UTAH,CORN,175
787,2017,UTAH,CORN,176
788,2018,UTAH,CORN,182
789,2019,UTAH,CORN,143
790,2020,UTAH,CORN,149
791,2021,UTAH,CORN,179
792,2001,VIRGINIA,CORN,123
793,2002,VIRGINIA,CORN,68
794,2003,VIRGINIA,CORN,115
795,2004,VIRGINIA,CORN,145
796,2005,VIRGINIA,CORN,118
797,2006,VIRGINIA,CORN,120
798,2007,VIRGINIA,CORN,86
799,2008,VIRGINIA,CORN,108
800,2009,VIRGINIA,CORN,131
801,2010,VIRGINIA,CORN,67
802,2011,VIRGINIA,CORN,118
803,2012,VIRGINIA,CORN,103
804,2013,VIRGINIA,CORN,154
805,2014,VIRGINIA,CORN,145
806,2015,VIRGINIA,CORN,161
807,2016,VIRGINIA,CORN,148
808,2017,VIRGINIA,CORN,140
809,2018,VIRGINIA,CORN,146
810,2019,VIRGINIA,CORN,144
811,2020,VIRGINIA,CORN,122
812,2021,VIRGINIA,CORN,160
813,2022,VIRGINIA,CORN,160
814,2001,WASHINGTON,CORN,190
815,2002,WASHINGTON,CORN,190
816,2003,WASHINGTON,CORN,195
817,2004,WASHINGTON,CORN,200
818,2005,WASHINGTON,CORN,205
819,2006,WASHINGTON,CORN,210
820,2007,WASHINGTON,CORN,210
821,2008,WASHINGTON,CORN,205
822,2009,WASHINGTON,CORN,215
823,2010,WASHINGTON,CORN,205
824,2011,WASHINGTON,CORN,225
825,2012,WASHINGTON,CORN,215
826,2013,WASHINGTON,CORN,215
827,2014,WASHINGTON,CORN,215
828,2015,WASHINGTON,CORN,215
829,2016,WASHINGTON,CORN,235
830,2017,WASHINGTON,CORN,225
831,2018,WASHINGTON,CORN,220
832,2019,WASHINGTON,CORN,237
833,2020,WASHINGTON,CORN,228
834,2021,WASHINGTON,CORN,248
835,2022,WASHINGTON,CORN,255
857,2001,WISCONSIN,CORN,127
858,2002,WISCONSIN,CORN,135
859,2003,WISCONSIN,CORN,129
860,2004,WISCONSIN,CORN,136
861,2005,WISCONSIN,CORN,148
862,2006,WISCONSIN,CORN,143
863,2007,WISCONSIN,CORN,135
864,2008,WISCONSIN,CORN,137
865,2009,WISCONSIN,CORN,153
866,2010,WISCONSIN,CORN,162
867,2011,WISCONSIN,CORN,155
868,2012,WISCONSIN,CORN,120
869,2013,WISCONSIN,CORN,145
870,2014,WISCONSIN,CORN,156
871,2015,WISCONSIN,CORN,164
872,2016,WISCONSIN,CORN,178
873,2017,WISCONSIN,CORN,174
874,2018,WISCONSIN,CORN,172
875,2019,WISCONSIN,CORN,166
876,2020,WISCONSIN,CORN,173
877,2021,WISCONSIN,CORN,180
878,2022,WISCONSIN,CORN,185
879,2001,WYOMING,CORN,125
880,2002,WYOMING,CORN,119
881,2003,WYOMING,CORN,129
882,2004,WYOMING,CORN,131
883,2005,WYOMING,CORN,140
884,2006,WYOMING,CORN,129
885,2007,WYOMING,CORN,129
886,2008,WYOMING,CORN,134
887,2009,WYOMING,CORN,140
888,2010,WYOMING,CORN,123
889,2011,WYOMING,CORN,130
890,2012,WYOMING,CORN,142
891,2013,WYOMING,CORN,127
892,2014,WYOMING,CORN,138
893,2015,WYOMING,CORN,159
894,2016,WYOMING,CORN,147
895,2017,WYOMING,CORN,155
896,2018,WYOMING,CORN,164
897,2019,WYOMING,CORN,123
898,2020,WYOMING,CORN,122
899,2021,WYOMING,CORN,132
