,YEAR,Period,STATE,YIELD
96,2007,YEAR,KENTUCKY,27.5
97,2008,YEAR,KENTUCKY,34.5
98,2009,YEAR,KENTUCKY,48
99,2010,YEAR,KENTUCKY,34
100,2011,YEAR,KENTUCKY,39
101,2012,YEAR,KENTUCKY,40
102,2013,YEAR,KENTUCKY,50
103,2014,YEAR,KENTUCKY,47.5
104,2015,YEAR,KENTUCKY,49
105,2016,YEAR,KENTUCKY,50
106,2017,YEAR,KENTUCKY,53
107,2018,YEAR,KENTUCKY,51
108,2019,YEAR,KENTUCKY,46
109,2020,YEAR,KENTUCKY,55
110,2021,YEAR,KENTUCKY,56
111,2022,YEAR,KENTUCKY,54
112,2000,YEAR,LOUISIANA,24
113,2001,YEAR,LOUISIANA,33
114,2002,YEAR,LOUISIANA,32
115,2003,YEAR,LOUISIANA,34
116,2004,YEAR,LOUISIANA,33
117,2005,YEAR,LOUISIANA,34
118,2006,YEAR,LOUISIANA,36
119,2007,YEAR,LOUISIANA,43
120,2008,YEAR,LOUISIANA,33
121,2009,YEAR,LOUISIANA,39
122,2010,YEAR,LOUISIANA,41
123,2011,YEAR,LOUISIANA,36
124,2012,YEAR,LOUISIANA,46.5
125,2013,YEAR,LOUISIANA,48.5
126,2014,YEAR,LOUISIANA,56.5
127,2015,YEAR,LOUISIANA,41
128,2016,YEAR,LOUISIANA,48.5
129,2017,YEAR,LOUISIANA,54
130,2018,YEAR,LOUISIANA,51.5
131,2019,YEAR,LOUISIANA,48
132,2020,YEAR,LOUISIANA,53
133,2021,YEAR,LOUISIANA,52
134,2022,YEAR,LOUISIANA,52
135,2000,YEAR,MARYLAND,43
136,2001,YEAR,MARYLAND,39
137,2002,YEAR,MARYLAND,23
138,2003,YEAR,MARYLAND,37
139,2004,YEAR,MARYLAND,43
140,2005,YEAR,MARYLAND,34
141,2006,YEAR,MARYLAND,34
142,2007,YEAR,MARYLAND,27.5
143,2008,YEAR,MARYLAND,30
144,2009,YEAR,MARYLAND,42
145,2010,YEAR,MARYLAND,34
146,2011,YEAR,MARYLAND,39
147,2012,YEAR,MARYLAND,47
148,2013,YEAR,MARYLAND,39.5
149,2014,YEAR,MARYLAND,46
150,2015,YEAR,MARYLAND,40
151,2016,YEAR,MARYLAND,41.5
152,2017,YEAR,MARYLAND,51
153,2018,YEAR,MARYLAND,47.5
154,2019,YEAR,MARYLAND,44
155,2020,YEAR,MARYLAND,47
156,2021,YEAR,MARYLAND,53
157,2022,YEAR,MARYLAND,53
158,2000,YEAR,MICHIGAN,36
159,2001,YEAR,MICHIGAN,30
160,2002,YEAR,MICHIGAN,38.5
161,2003,YEAR,MICHIGAN,27.5
162,2004,YEAR,MICHIGAN,38
163,2005,YEAR,MICHIGAN,38.5
164,2006,YEAR,MICHIGAN,46
165,2007,YEAR,MICHIGAN,40
166,2008,YEAR,MICHIGAN,37
167,2009,YEAR,MICHIGAN,40
168,2010,YEAR,MICHIGAN,43.5
169,2011,YEAR,MICHIGAN,44.5
170,2012,YEAR,MICHIGAN,43
171,2013,YEAR,MICHIGAN,44.5
172,2014,YEAR,MICHIGAN,42.5
173,2015,YEAR,MICHIGAN,49
174,2016,YEAR,MICHIGAN,50.5
175,2017,YEAR,MICHIGAN,42.5
176,2018,YEAR,MICHIGAN,47.5
177,2019,YEAR,MICHIGAN,40.5
178,2020,YEAR,MICHIGAN,48
179,2021,YEAR,MICHIGAN,51
180,2022,YEAR,MICHIGAN,47
181,2000,YEAR,MINNESOTA,41
182,2001,YEAR,MINNESOTA,37
183,2002,YEAR,MINNESOTA,43.5
184,2003,YEAR,MINNESOTA,32
185,2004,YEAR,MINNESOTA,33
186,2005,YEAR,MINNESOTA,45.5
187,2006,YEAR,MINNESOTA,44.5
188,2007,YEAR,MINNESOTA,42.5
189,2008,YEAR,MINNESOTA,38
190,2009,YEAR,MINNESOTA,40
191,2010,YEAR,MINNESOTA,45
192,2011,YEAR,MINNESOTA,39
193,2012,YEAR,MINNESOTA,43.5
194,2013,YEAR,MINNESOTA,42
195,2014,YEAR,MINNESOTA,41.5
196,2015,YEAR,MINNESOTA,50
197,2016,YEAR,MINNESOTA,52
198,2017,YEAR,MINNESOTA,47.5
199,2018,YEAR,MINNESOTA,49
200,2019,YEAR,MINNESOTA,44
201,2020,YEAR,MINNESOTA,50
202,2021,YEAR,MINNESOTA,47
203,2022,YEAR,MINNESOTA,50
204,2000,YEAR,MISSOURI,35
205,2001,YEAR,MISSOURI,38
206,2002,YEAR,MISSOURI,34
207,2003,YEAR,MISSOURI,29.5
208,2004,YEAR,MISSOURI,45
209,2005,YEAR,MISSOURI,37
210,2006,YEAR,MISSOURI,38
211,2007,YEAR,MISSOURI,37.5
212,2008,YEAR,MISSOURI,38
213,2009,YEAR,MISSOURI,43.5
214,2010,YEAR,MISSOURI,41.5
215,2011,YEAR,MISSOURI,36.5
216,2012,YEAR,MISSOURI,30
217,2013,YEAR,MISSOURI,36
218,2014,YEAR,MISSOURI,46.5
219,2015,YEAR,MISSOURI,40.5
220,2016,YEAR,MISSOURI,49
221,2017,YEAR,MISSOURI,49.5
222,2018,YEAR,MISSOURI,44.5
223,2019,YEAR,MISSOURI,46
224,2020,YEAR,MISSOURI,51
225,2021,YEAR,MISSOURI,49
226,2022,YEAR,MISSOURI,49
227,2000,YEAR,NEBRASKA,38
228,2001,YEAR,NEBRASKA,45.5
229,2002,YEAR,NEBRASKA,38.5
230,2003,YEAR,NEBRASKA,40.5
231,2004,YEAR,NEBRASKA,46
232,2005,YEAR,NEBRASKA,50.5
233,2006,YEAR,NEBRASKA,50
234,2007,YEAR,NEBRASKA,51
235,2008,YEAR,NEBRASKA,46.5
236,2009,YEAR,NEBRASKA,54.5
237,2010,YEAR,NEBRASKA,52.5
238,2011,YEAR,NEBRASKA,54
239,2012,YEAR,NEBRASKA,41.5
240,2013,YEAR,NEBRASKA,53.5
241,2014,YEAR,NEBRASKA,54
242,2015,YEAR,NEBRASKA,58
243,2016,YEAR,NEBRASKA,61
244,2017,YEAR,NEBRASKA,57.5
245,2018,YEAR,NEBRASKA,58
246,2019,YEAR,NEBRASKA,58.5
247,2020,YEAR,NEBRASKA,58
248,2021,YEAR,NEBRASKA,63
249,2022,YEAR,NEBRASKA,55
250,2000,YEAR,NEW JERSEY,40
251,2001,YEAR,NEW JERSEY,31
252,2002,YEAR,NEW JERSEY,24
253,2003,YEAR,NEW JERSEY,34
254,2004,YEAR,NEW JERSEY,42
255,2005,YEAR,NEW JERSEY,28
256,2006,YEAR,NEW JERSEY,35
257,2007,YEAR,NEW JERSEY,31
258,2008,YEAR,NEW JERSEY,30
259,2009,YEAR,NEW JERSEY,42
260,2010,YEAR,NEW JERSEY,24
261,2011,YEAR,NEW JERSEY,38
262,2012,YEAR,NEW JERSEY,39
263,2013,YEAR,NEW JERSEY,39.5
264,2014,YEAR,NEW JERSEY,44
265,2015,YEAR,NEW JERSEY,32
266,2016,YEAR,NEW JERSEY,36
267,2017,YEAR,NEW JERSEY,45
268,2018,YEAR,NEW JERSEY,39.5
269,2019,YEAR,NEW JERSEY,37
270,2020,YEAR,NEW JERSEY,46
271,2021,YEAR,NEW JERSEY,46
272,2022,YEAR,NEW JERSEY,36
273,2000,YEAR,NORTH CAROLINA,32.5
274,2001,YEAR,NORTH CAROLINA,32
275,2002,YEAR,NORTH CAROLINA,24
276,2003,YEAR,NORTH CAROLINA,30
277,2004,YEAR,NORTH CAROLINA,34
278,2005,YEAR,NORTH CAROLINA,27
279,2006,YEAR,NORTH CAROLINA,32
280,2007,YEAR,NORTH CAROLINA,22
281,2008,YEAR,NORTH CAROLINA,33
282,2009,YEAR,NORTH CAROLINA,34
283,2010,YEAR,NORTH CAROLINA,26
284,2011,YEAR,NORTH CAROLINA,30.5
285,2012,YEAR,NORTH CAROLINA,39.5
286,2013,YEAR,NORTH CAROLINA,33.5
287,2014,YEAR,NORTH CAROLINA,40
288,2015,YEAR,NORTH CAROLINA,32
289,2016,YEAR,NORTH CAROLINA,35
290,2017,YEAR,NORTH CAROLINA,40
291,2018,YEAR,NORTH CAROLINA,33
292,2019,YEAR,NORTH CAROLINA,35
293,2020,YEAR,NORTH CAROLINA,38
294,2021,YEAR,NORTH CAROLINA,40
295,2022,YEAR,NORTH CAROLINA,37
296,2000,YEAR,OHIO,42
297,2001,YEAR,OHIO,41
298,2002,YEAR,OHIO,32
299,2003,YEAR,OHIO,38.5
300,2004,YEAR,OHIO,47
301,2005,YEAR,OHIO,45
302,2006,YEAR,OHIO,47
303,2007,YEAR,OHIO,47
304,2008,YEAR,OHIO,36
305,2009,YEAR,OHIO,49
306,2010,YEAR,OHIO,48
307,2011,YEAR,OHIO,48
308,2012,YEAR,OHIO,45
309,2013,YEAR,OHIO,49.5
310,2014,YEAR,OHIO,52.5
311,2015,YEAR,OHIO,50
312,2016,YEAR,OHIO,54.5
313,2017,YEAR,OHIO,49.5
314,2018,YEAR,OHIO,56
315,2019,YEAR,OHIO,49
316,2020,YEAR,OHIO,55
317,2021,YEAR,OHIO,56.5
318,2022,YEAR,OHIO,57
319,2000,YEAR,PENNSYLVANIA,43
320,2001,YEAR,PENNSYLVANIA,35
321,2002,YEAR,PENNSYLVANIA,26
322,2003,YEAR,PENNSYLVANIA,41
323,2004,YEAR,PENNSYLVANIA,46
324,2005,YEAR,PENNSYLVANIA,41
325,2006,YEAR,PENNSYLVANIA,40
326,2007,YEAR,PENNSYLVANIA,41
327,2008,YEAR,PENNSYLVANIA,40
328,2009,YEAR,PENNSYLVANIA,46
329,2010,YEAR,PENNSYLVANIA,42
330,2011,YEAR,PENNSYLVANIA,44
331,2012,YEAR,PENNSYLVANIA,48
332,2013,YEAR,PENNSYLVANIA,49
333,2014,YEAR,PENNSYLVANIA,49
334,2015,YEAR,PENNSYLVANIA,44
335,2016,YEAR,PENNSYLVANIA,44
336,2017,YEAR,PENNSYLVANIA,48
337,2018,YEAR,PENNSYLVANIA,44.5
338,2019,YEAR,PENNSYLVANIA,49
339,2020,YEAR,PENNSYLVANIA,46
340,2021,YEAR,PENNSYLVANIA,53
341,2022,YEAR,PENNSYLVANIA,50
342,2000,YEAR,TENNESSEE,25
343,2001,YEAR,TENNESSEE,34
344,2002,YEAR,TENNESSEE,31
345,2003,YEAR,TENNESSEE,42
346,2004,YEAR,TENNESSEE,41
347,2005,YEAR,TENNESSEE,38
348,2006,YEAR,TENNESSEE,39
349,2007,YEAR,TENNESSEE,19
350,2008,YEAR,TENNESSEE,34
351,2009,YEAR,TENNESSEE,45
352,2010,YEAR,TENNESSEE,31
353,2011,YEAR,TENNESSEE,32
354,2012,YEAR,TENNESSEE,38
355,2013,YEAR,TENNESSEE,46.5
356,2014,YEAR,TENNESSEE,46
357,2015,YEAR,TENNESSEE,46
358,2016,YEAR,TENNESSEE,45
359,2017,YEAR,TENNESSEE,50
360,2018,YEAR,TENNESSEE,45.5
361,2019,YEAR,TENNESSEE,47
362,2020,YEAR,TENNESSEE,50
363,2021,YEAR,TENNESSEE,50
364,2022,YEAR,TENNESSEE,44
365,2000,YEAR,TEXAS,27
366,2001,YEAR,TEXAS,26
367,2002,YEAR,TEXAS,28
368,2003,YEAR,TEXAS,29
369,2004,YEAR,TEXAS,32
370,2005,YEAR,TEXAS,26
371,2006,YEAR,TEXAS,24
372,2007,YEAR,TEXAS,37.5
373,2008,YEAR,TEXAS,24.5
374,2009,YEAR,TEXAS,25.5
375,2010,YEAR,TEXAS,30
376,2011,YEAR,TEXAS,19
377,2012,YEAR,TEXAS,26
378,2013,YEAR,TEXAS,25.5
379,2014,YEAR,TEXAS,38.5
380,2015,YEAR,TEXAS,26
381,2016,YEAR,TEXAS,31
382,2017,YEAR,TEXAS,37
383,2018,YEAR,TEXAS,31.5
384,2019,YEAR,TEXAS,28
385,2020,YEAR,TEXAS,34
386,2021,YEAR,TEXAS,38
387,2022,YEAR,TEXAS,30
388,2000,YEAR,VIRGINIA,38.5
389,2001,YEAR,VIRGINIA,35.5
390,2002,YEAR,VIRGINIA,23
391,2003,YEAR,VIRGINIA,34
392,2004,YEAR,VIRGINIA,39
393,2005,YEAR,VIRGINIA,30.5
394,2006,YEAR,VIRGINIA,31
395,2007,YEAR,VIRGINIA,27.5
396,2008,YEAR,VIRGINIA,32
397,2009,YEAR,VIRGINIA,37
398,2010,YEAR,VIRGINIA,26
399,2011,YEAR,VIRGINIA,40
400,2012,YEAR,VIRGINIA,42
401,2013,YEAR,VIRGINIA,38.5
402,2014,YEAR,VIRGINIA,39.5
403,2015,YEAR,VIRGINIA,34.5
404,2016,YEAR,VIRGINIA,36
405,2017,YEAR,VIRGINIA,44
406,2018,YEAR,VIRGINIA,42
407,2019,YEAR,VIRGINIA,34
408,2020,YEAR,VIRGINIA,42
409,2021,YEAR,VIRGINIA,46
410,2022,YEAR,VIRGINIA,47
411,2000,YEAR,WISCONSIN,40
412,2001,YEAR,WISCONSIN,37
413,2002,YEAR,WISCONSIN,44
414,2003,YEAR,WISCONSIN,28
415,2004,YEAR,WISCONSIN,34.5
416,2005,YEAR,WISCONSIN,44
417,2006,YEAR,WISCONSIN,44
418,2007,YEAR,WISCONSIN,40.5
419,2008,YEAR,WISCONSIN,35
420,2009,YEAR,WISCONSIN,40
421,2010,YEAR,WISCONSIN,50.5
422,2011,YEAR,WISCONSIN,47
423,2012,YEAR,WISCONSIN,42
424,2013,YEAR,WISCONSIN,39
425,2014,YEAR,WISCONSIN,44
426,2015,YEAR,WISCONSIN,49.5
427,2016,YEAR,WISCONSIN,55
428,2017,YEAR,WISCONSIN,47.5
429,2018,YEAR,WISCONSIN,48
430,2019,YEAR,WISCONSIN,47
431,2020,YEAR,WISCONSIN,52
432,2021,YEAR,WISCONSIN,55
433,2022,YEAR,WISCONSIN,52
