Year,Week Ending,State,Commodity,Data Item,Yield
2022,,MICHIGAN,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",62
2022,,MICHIGAN,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",47
2022,,MICHIGAN,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",84
2022,,MINNESOTA,BARLEY,"BARLEY - YIELD, MEASURED IN BU / ACRE",56
2022,,MINNESOTA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",193
2022,,MINNESOTA,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",60
2022,,MINNESOTA,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",50
2022,,MINNESOTA,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",56
2022,,MISSISSIPPI,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",178
2022,,MISSISSIPPI,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",55
2022,,MISSISSIPPI,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",53
2022,,MISSOURI,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",153
2022,,MISSOURI,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",49
2022,,MISSOURI,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",66
2022,,MONTANA,BARLEY,"BARLEY - YIELD, MEASURED IN BU / ACRE",42
2022,,MONTANA,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",30
2022,,MONTANA,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",28
2022,,MONTANA,WHEAT,"WHEAT, SPRING, DURUM - YIELD, MEASURED IN BU / ACRE",29
2022,,MONTANA,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",35
2022,,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",181
2022,,NEBRASKA,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",40
2022,,NEBRASKA,SORGHUM,"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",60
2022,,NEBRASKA,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",55
2022,,NEBRASKA,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",34
2022,,NEW JERSEY,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",36
2022,,NEW YORK,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",150
2022,,NEW YORK,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",69
2022,,NEW YORK,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",51
2022,,NORTH CAROLINA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",108
2022,,NORTH CAROLINA,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",37
2022,,NORTH CAROLINA,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",65
2022,,NORTH DAKOTA,BARLEY,"BARLEY - YIELD, MEASURED IN BU / ACRE",62
2022,,NORTH DAKOTA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",145
2022,,NORTH DAKOTA,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",89
2022,,NORTH DAKOTA,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",35
2022,,NORTH DAKOTA,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",52
2022,,NORTH DAKOTA,WHEAT,"WHEAT, SPRING, DURUM - YIELD, MEASURED IN BU / ACRE",41
2022,,NORTH DAKOTA,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",58
2022,,OHIO,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",190
2022,,OHIO,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",66
2022,,OHIO,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",57
2022,,OHIO,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",78
2022,,OKLAHOMA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",130
2022,,OKLAHOMA,SORGHUM,"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",35
2022,,OKLAHOMA,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",19
2022,,OKLAHOMA,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",27
2022,,OREGON,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",100
2022,,OREGON,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",67
2022,,OTHER STATES,BARLEY,"BARLEY - YIELD, MEASURED IN BU / ACRE",70.2
2022,,OTHER STATES,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",152.6
2022,,OTHER STATES,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",64.2
2022,,OTHER STATES,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",60.6
2022,,PENNSYLVANIA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",158
2022,,PENNSYLVANIA,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",60
2022,,PENNSYLVANIA,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",50
2022,,SOUTH CAROLINA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",128
2022,,SOUTH CAROLINA,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",35
2022,,SOUTH DAKOTA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",147
2022,,SOUTH DAKOTA,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",72
2022,,SOUTH DAKOTA,SORGHUM,"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",67
2022,,SOUTH DAKOTA,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",43
2022,,SOUTH DAKOTA,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",44
2022,,SOUTH DAKOTA,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",52
2022,,TENNESSEE,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",130
2022,,TENNESSEE,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",44
2022,,TENNESSEE,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",71
2022,,TEXAS,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",120
2022,,TEXAS,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",47
2022,,TEXAS,SORGHUM,"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",42
2022,,TEXAS,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",30
2022,,TEXAS,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",28
2022,,VIRGINIA,BARLEY,"BARLEY - YIELD, MEASURED IN BU / ACRE",77
2022,,VIRGINIA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",160
2022,,VIRGINIA,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",47
2022,,VIRGINIA,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",66
2022,,WASHINGTON,BARLEY,"BARLEY - YIELD, MEASURED IN BU / ACRE",77
2022,,WASHINGTON,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",255
2022,,WASHINGTON,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",54
2022,,WASHINGTON,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",72
2022,,WISCONSIN,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",185
2022,,WISCONSIN,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",61
2022,,WISCONSIN,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",52
2022,,WISCONSIN,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",77
2022,,WYOMING,BARLEY,"BARLEY - YIELD, MEASURED IN BU / ACRE",103
2021,,ALABAMA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",163
2021,,ALABAMA,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",46
2021,,ALABAMA,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",83
2021,,ALABAMA,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",83
2021,,ALASKA,BARLEY,"BARLEY - YIELD, MEASURED IN BU / ACRE",51
2021,,ARIZONA,BARLEY,"BARLEY - YIELD, MEASURED IN BU / ACRE",125
2021,,ARIZONA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",181
2021,,ARIZONA,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",90
2021,,ARIZONA,WHEAT,"WHEAT, SPRING, DURUM - YIELD, MEASURED IN BU / ACRE",90
2021,,ARKANSAS,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",184
2021,,ARKANSAS,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",90
2021,,ARKANSAS,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",51
2021,,ARKANSAS,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",58
2021,,ARKANSAS,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",58
2021,,CALIFORNIA,BARLEY,"BARLEY - YIELD, MEASURED IN BU / ACRE",63
2021,,CALIFORNIA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",188
2021,,CALIFORNIA,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",65
2021,,CALIFORNIA,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",87.6
2021,,CALIFORNIA,WHEAT,"WHEAT, SPRING, DURUM - YIELD, MEASURED IN BU / ACRE",110
2021,,CALIFORNIA,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",82
2021,,COLORADO,BARLEY,"BARLEY - YIELD, MEASURED IN BU / ACRE",111
2021,,COLORADO,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",129
2021,,COLORADO,MILLET,"MILLET, PROSO - YIELD, MEASURED IN BU / ACRE",22
2021,,COLORADO,SORGHUM,"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",37
2021,,COLORADO,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",37
2021,,COLORADO,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",37
2021,,DELAWARE,BARLEY,"BARLEY - YIELD, MEASURED IN BU / ACRE",75
2021,,DELAWARE,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",184
2021,,DELAWARE,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",51
2021,,DELAWARE,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",70
2021,,DELAWARE,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",70
2021,,FLORIDA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",176
2021,,GEORGIA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",182
2021,,GEORGIA,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",70
2021,,GEORGIA,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",46
2021,,GEORGIA,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",56
2021,,GEORGIA,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",56
2021,,IDAHO,BARLEY,"BARLEY - YIELD, MEASURED IN BU / ACRE",89
2021,,IDAHO,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",210
2021,,IDAHO,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",72
2021,,IDAHO,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",67.6
2021,,IDAHO,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",63
2021,,IDAHO,WHEAT,"WHEAT, SPRING, DURUM - YIELD, MEASURED IN BU / ACRE",77
2021,,IDAHO,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",71
2021,,ILLINOIS,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",202
2021,,ILLINOIS,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",83
2021,,ILLINOIS,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",64
2021,,ILLINOIS,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",79
2021,,ILLINOIS,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",79
2021,,INDIANA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",195
2021,,INDIANA,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",59.5
2021,,INDIANA,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",85
2021,,INDIANA,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",85
2021,,IOWA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",205
2021,,IOWA,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",77
2021,,IOWA,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",62
2021,,KANSAS,BARLEY,"BARLEY - YIELD, MEASURED IN BU / ACRE",66
2021,,KANSAS,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",139
2021,,KANSAS,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",50
2021,,KANSAS,SORGHUM,"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",78
2021,,KANSAS,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",39.5
2021,,KANSAS,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",52
2021,,KANSAS,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",52
2021,,KENTUCKY,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",192
2021,,KENTUCKY,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",56
2021,,KENTUCKY,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",87
2021,,KENTUCKY,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",87
2021,,LOUISIANA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",183
2021,,LOUISIANA,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",52
2021,,MAINE,BARLEY,"BARLEY - YIELD, MEASURED IN BU / ACRE",82
2021,,MAINE,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",78
2021,,MARYLAND,BARLEY,"BARLEY - YIELD, MEASURED IN BU / ACRE",75
2021,,MARYLAND,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",175
2021,,MARYLAND,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",53
2021,,MARYLAND,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",79
2021,,MARYLAND,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",79
2021,,MICHIGAN,BARLEY,"BARLEY - YIELD, MEASURED IN BU / ACRE",50
2021,,MICHIGAN,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",174
2021,,MICHIGAN,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",63
2021,,MICHIGAN,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",51
2021,,MICHIGAN,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",81
2021,,MICHIGAN,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",81
2021,,MINNESOTA,BARLEY,"BARLEY - YIELD, MEASURED IN BU / ACRE",55
2021,,MINNESOTA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",178
2021,,MINNESOTA,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",57
2021,,MINNESOTA,RYE,"RYE - YIELD, MEASURED IN BU / ACRE",44
2021,,MINNESOTA,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",47
2021,,MINNESOTA,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",48
2021,,MINNESOTA,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",48
2021,,MISSISSIPPI,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",181
2021,,MISSISSIPPI,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",54
2021,,MISSISSIPPI,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",59
2021,,MISSISSIPPI,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",59
2021,,MISSOURI,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",160
2021,,MISSOURI,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",60
2021,,MISSOURI,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",49
2021,,MISSOURI,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",65
2021,,MISSOURI,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",65
2021,,MONTANA,BARLEY,"BARLEY - YIELD, MEASURED IN BU / ACRE",38
2021,,MONTANA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",100
2021,,MONTANA,FLAXSEED,"FLAXSEED - YIELD, MEASURED IN BU / ACRE",5
2021,,MONTANA,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",35
2021,,MONTANA,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",22.2
2021,,MONTANA,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",17
2021,,MONTANA,WHEAT,"WHEAT, SPRING, DURUM - YIELD, MEASURED IN BU / ACRE",16
2021,,MONTANA,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",31
2021,,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",194
2021,,NEBRASKA,MILLET,"MILLET, PROSO - YIELD, MEASURED IN BU / ACRE",24
2021,,NEBRASKA,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",56
2021,,NEBRASKA,SORGHUM,"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",86
2021,,NEBRASKA,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",63
2021,,NEBRASKA,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",49
2021,,NEBRASKA,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",49
2021,,NEW JERSEY,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",163
2021,,NEW JERSEY,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",46
2021,,NEW JERSEY,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",67
2021,,NEW JERSEY,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",67
2021,,NEW MEXICO,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",184
2021,,NEW MEXICO,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",36
2021,,NEW MEXICO,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",36
2021,,NEW YORK,BARLEY,"BARLEY - YIELD, MEASURED IN BU / ACRE",63
2021,,NEW YORK,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",167
2021,,NEW YORK,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",68
2021,,NEW YORK,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",53
2021,,NEW YORK,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",77
2021,,NEW YORK,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",77
2021,,NORTH CAROLINA,BARLEY,"BARLEY - YIELD, MEASURED IN BU / ACRE",70
2021,,NORTH CAROLINA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",149
2021,,NORTH CAROLINA,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",68
2021,,NORTH CAROLINA,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",40
2021,,NORTH CAROLINA,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",56
2021,,NORTH CAROLINA,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",56
2021,,NORTH DAKOTA,BARLEY,"BARLEY - YIELD, MEASURED IN BU / ACRE",51
2021,,NORTH DAKOTA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",105
2021,,NORTH DAKOTA,FLAXSEED,"FLAXSEED - YIELD, MEASURED IN BU / ACRE",13
2021,,NORTH DAKOTA,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",48
2021,,NORTH DAKOTA,RYE,"RYE - YIELD, MEASURED IN BU / ACRE",32
2021,,NORTH DAKOTA,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",25.5
2021,,NORTH DAKOTA,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",32.2
2021,,NORTH DAKOTA,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",33.5
2021,,NORTH DAKOTA,WHEAT,"WHEAT, SPRING, DURUM - YIELD, MEASURED IN BU / ACRE",24
2021,,NORTH DAKOTA,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",33
2021,,OHIO,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",193
2021,,OHIO,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",67
2021,,OHIO,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",56.5
2021,,OHIO,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",85
