,YEAR,STATE,COMMODITY,YIELD
117,2012,FLORIDA,CORN,115
118,2013,FLORIDA,CORN,133
119,2014,FLORIDA,CORN,135
120,2015,FLORIDA,CORN,141
121,2017,FLORIDA,CORN,161
122,2018,FLORIDA,CORN,157
123,2019,FLORIDA,CORN,161
124,2020,FLORIDA,CORN,138
125,2021,FLORIDA,CORN,176
126,2003,GEORGIA,CORN,126
127,2004,GEORGIA,CORN,128
128,2005,GEORGIA,CORN,128
129,2006,GEORGIA,CORN,110
130,2007,GEORGIA,CORN,127
131,2008,GEORGIA,CORN,140
132,2009,GEORGIA,CORN,140
133,2010,GEORGIA,CORN,146
134,2011,GEORGIA,CORN,159
135,2012,GEORGIA,CORN,180
136,2013,GEORGIA,CORN,175
137,2014,GEORGIA,CORN,170
138,2015,GEORGIA,CORN,171
139,2017,GEORGIA,CORN,176
140,2018,GEORGIA,CORN,176
141,2019,GEORGIA,CORN,160
142,2020,GEORGIA,CORN,180
143,2021,GEORGIA,CORN,182
144,2003,IDAHO,CORN,140
145,2004,IDAHO,CORN,175
146,2005,IDAHO,CORN,170
147,2006,IDAHO,CORN,170
148,2007,IDAHO,CORN,170
149,2008,IDAHO,CORN,170
150,2009,IDAHO,CORN,185
151,2010,IDAHO,CORN,190
152,2011,IDAHO,CORN,189
153,2012,IDAHO,CORN,195
154,2013,IDAHO,CORN,181
155,2014,IDAHO,CORN,200
156,2015,IDAHO,CORN,207
157,2017,IDAHO,CORN,203
158,2018,IDAHO,CORN,213
159,2019,IDAHO,CORN,205
160,2020,IDAHO,CORN,199
161,2021,IDAHO,CORN,210
162,2003,ILLINOIS,CORN,164
163,2004,ILLINOIS,CORN,180
164,2005,ILLINOIS,CORN,143
165,2006,ILLINOIS,CORN,163
166,2007,ILLINOIS,CORN,175
167,2008,ILLINOIS,CORN,179
168,2009,ILLINOIS,CORN,174
169,2010,ILLINOIS,CORN,157
170,2011,ILLINOIS,CORN,157
171,2012,ILLINOIS,CORN,105
172,2013,ILLINOIS,CORN,178
173,2014,ILLINOIS,CORN,200
174,2015,ILLINOIS,CORN,175
175,2017,ILLINOIS,CORN,201
176,2018,ILLINOIS,CORN,210
177,2019,ILLINOIS,CORN,181
178,2020,ILLINOIS,CORN,191
179,2021,ILLINOIS,CORN,202
180,2003,INDIANA,CORN,146
181,2004,INDIANA,CORN,168
182,2005,INDIANA,CORN,154
183,2006,INDIANA,CORN,157
184,2007,INDIANA,CORN,154
185,2008,INDIANA,CORN,160
186,2009,INDIANA,CORN,171
187,2010,INDIANA,CORN,157
188,2011,INDIANA,CORN,146
189,2012,INDIANA,CORN,99
190,2013,INDIANA,CORN,177
191,2014,INDIANA,CORN,188
192,2015,INDIANA,CORN,150
193,2017,INDIANA,CORN,180
194,2018,INDIANA,CORN,189
195,2019,INDIANA,CORN,169
196,2020,INDIANA,CORN,187
197,2021,INDIANA,CORN,195
198,2003,IOWA,CORN,157
199,2004,IOWA,CORN,181
200,2005,IOWA,CORN,173
201,2006,IOWA,CORN,166
202,2007,IOWA,CORN,171
203,2008,IOWA,CORN,171
204,2009,IOWA,CORN,181
205,2010,IOWA,CORN,165
206,2011,IOWA,CORN,172
207,2012,IOWA,CORN,137
208,2013,IOWA,CORN,164
209,2014,IOWA,CORN,178
210,2015,IOWA,CORN,192
211,2017,IOWA,CORN,202
212,2018,IOWA,CORN,196
213,2019,IOWA,CORN,198
214,2020,IOWA,CORN,177
215,2021,IOWA,CORN,205
216,2003,KANSAS,CORN,120
217,2004,KANSAS,CORN,150
218,2005,KANSAS,CORN,135
219,2006,KANSAS,CORN,115
220,2007,KANSAS,CORN,138
221,2008,KANSAS,CORN,133
222,2009,KANSAS,CORN,155
223,2010,KANSAS,CORN,124
224,2011,KANSAS,CORN,107
225,2012,KANSAS,CORN,95
226,2013,KANSAS,CORN,126
227,2014,KANSAS,CORN,149
228,2015,KANSAS,CORN,148
229,2017,KANSAS,CORN,132
230,2018,KANSAS,CORN,129
231,2019,KANSAS,CORN,133
232,2020,KANSAS,CORN,134
233,2021,KANSAS,CORN,139
234,2003,KENTUCKY,CORN,137
235,2004,KENTUCKY,CORN,152
236,2005,KENTUCKY,CORN,132
237,2006,KENTUCKY,CORN,146
238,2007,KENTUCKY,CORN,128
239,2008,KENTUCKY,CORN,136
240,2009,KENTUCKY,CORN,165
241,2010,KENTUCKY,CORN,124
242,2011,KENTUCKY,CORN,139
243,2012,KENTUCKY,CORN,68
244,2013,KENTUCKY,CORN,170
245,2014,KENTUCKY,CORN,158
246,2015,KENTUCKY,CORN,172
247,2017,KENTUCKY,CORN,178
248,2018,KENTUCKY,CORN,175
249,2019,KENTUCKY,CORN,169
250,2020,KENTUCKY,CORN,184
251,2021,KENTUCKY,CORN,192
252,2003,LOUISIANA,CORN,134
253,2004,LOUISIANA,CORN,135
254,2005,LOUISIANA,CORN,136
255,2006,LOUISIANA,CORN,140
256,2007,LOUISIANA,CORN,163
257,2008,LOUISIANA,CORN,144
258,2009,LOUISIANA,CORN,132
259,2010,LOUISIANA,CORN,140
260,2011,LOUISIANA,CORN,135
261,2012,LOUISIANA,CORN,173
262,2013,LOUISIANA,CORN,173
263,2014,LOUISIANA,CORN,183
264,2015,LOUISIANA,CORN,171
265,2017,LOUISIANA,CORN,184
266,2018,LOUISIANA,CORN,173
267,2019,LOUISIANA,CORN,165
268,2020,LOUISIANA,CORN,181
269,2021,LOUISIANA,CORN,183
270,2003,MARYLAND,CORN,123
271,2004,MARYLAND,CORN,153
272,2005,MARYLAND,CORN,135
273,2006,MARYLAND,CORN,140
274,2007,MARYLAND,CORN,101
275,2008,MARYLAND,CORN,121
276,2009,MARYLAND,CORN,145
277,2010,MARYLAND,CORN,106
278,2011,MARYLAND,CORN,109
279,2012,MARYLAND,CORN,122
280,2013,MARYLAND,CORN,158
281,2014,MARYLAND,CORN,175
282,2015,MARYLAND,CORN,164
283,2017,MARYLAND,CORN,172
284,2018,MARYLAND,CORN,146
285,2019,MARYLAND,CORN,161
286,2020,MARYLAND,CORN,155
287,2021,MARYLAND,CORN,175
288,2003,MICHIGAN,CORN,128
289,2004,MICHIGAN,CORN,134
290,2005,MICHIGAN,CORN,143
291,2006,MICHIGAN,CORN,147
292,2007,MICHIGAN,CORN,123
293,2008,MICHIGAN,CORN,138
294,2009,MICHIGAN,CORN,148
295,2010,MICHIGAN,CORN,149
296,2011,MICHIGAN,CORN,153
297,2012,MICHIGAN,CORN,132
298,2013,MICHIGAN,CORN,155
299,2014,MICHIGAN,CORN,161
300,2015,MICHIGAN,CORN,162
301,2017,MICHIGAN,CORN,159
302,2018,MICHIGAN,CORN,153
303,2019,MICHIGAN,CORN,147
304,2020,MICHIGAN,CORN,153
305,2021,MICHIGAN,CORN,174
306,2003,MINNESOTA,CORN,146
307,2004,MINNESOTA,CORN,159
308,2005,MINNESOTA,CORN,174
309,2006,MINNESOTA,CORN,161
310,2007,MINNESOTA,CORN,146
311,2008,MINNESOTA,CORN,162
312,2009,MINNESOTA,CORN,174
313,2010,MINNESOTA,CORN,177
314,2011,MINNESOTA,CORN,155
315,2012,MINNESOTA,CORN,165
316,2013,MINNESOTA,CORN,159
317,2014,MINNESOTA,CORN,156
318,2015,MINNESOTA,CORN,188
319,2017,MINNESOTA,CORN,194
320,2018,MINNESOTA,CORN,182
321,2019,MINNESOTA,CORN,173
322,2020,MINNESOTA,CORN,191
323,2021,MINNESOTA,CORN,178
324,2003,MISSISSIPPI,CORN,133
325,2004,MISSISSIPPI,CORN,133
326,2005,MISSISSIPPI,CORN,126
327,2006,MISSISSIPPI,CORN,107
328,2007,MISSISSIPPI,CORN,148
329,2008,MISSISSIPPI,CORN,140
330,2009,MISSISSIPPI,CORN,128
331,2010,MISSISSIPPI,CORN,136
332,2011,MISSISSIPPI,CORN,128
333,2012,MISSISSIPPI,CORN,165
334,2013,MISSISSIPPI,CORN,176
335,2014,MISSISSIPPI,CORN,185
336,2015,MISSISSIPPI,CORN,175
337,2017,MISSISSIPPI,CORN,189
338,2018,MISSISSIPPI,CORN,185
339,2019,MISSISSIPPI,CORN,174
340,2020,MISSISSIPPI,CORN,180
341,2021,MISSISSIPPI,CORN,181
342,2003,MISSOURI,CORN,108
343,2004,MISSOURI,CORN,162
344,2005,MISSOURI,CORN,111
345,2006,MISSOURI,CORN,138
346,2007,MISSOURI,CORN,140
347,2008,MISSOURI,CORN,144
348,2009,MISSOURI,CORN,153
349,2010,MISSOURI,CORN,123
350,2011,MISSOURI,CORN,114
351,2012,MISSOURI,CORN,75
352,2013,MISSOURI,CORN,136
353,2014,MISSOURI,CORN,186
354,2015,MISSOURI,CORN,142
355,2017,MISSOURI,CORN,170
356,2018,MISSOURI,CORN,140
357,2019,MISSOURI,CORN,155
358,2020,MISSOURI,CORN,171
359,2021,MISSOURI,CORN,160
360,2003,MONTANA,CORN,140
361,2004,MONTANA,CORN,143
362,2005,MONTANA,CORN,148
363,2006,MONTANA,CORN,146
364,2007,MONTANA,CORN,140
365,2008,MONTANA,CORN,122
366,2009,MONTANA,CORN,152
367,2010,MONTANA,CORN,135
368,2011,MONTANA,CORN,127
369,2012,MONTANA,CORN,104
370,2013,MONTANA,CORN,115
371,2014,MONTANA,CORN,100
372,2015,MONTANA,CORN,110
373,2017,MONTANA,CORN,70
374,2018,MONTANA,CORN,85
375,2019,MONTANA,CORN,95
376,2020,MONTANA,CORN,109
377,2021,MONTANA,CORN,100
378,2003,NEBRASKA,CORN,146
379,2004,NEBRASKA,CORN,166
380,2005,NEBRASKA,CORN,154
381,2006,NEBRASKA,CORN,152
382,2007,NEBRASKA,CORN,160
383,2008,NEBRASKA,CORN,163
384,2009,NEBRASKA,CORN,179
385,2010,NEBRASKA,CORN,166
386,2011,NEBRASKA,CORN,160
387,2012,NEBRASKA,CORN,142
388,2013,NEBRASKA,CORN,169
389,2014,NEBRASKA,CORN,179
390,2015,NEBRASKA,CORN,185
391,2017,NEBRASKA,CORN,181
392,2018,NEBRASKA,CORN,192
393,2019,NEBRASKA,CORN,182
394,2020,NEBRASKA,CORN,180
395,2021,NEBRASKA,CORN,194
396,2003,NEW JERSEY,CORN,113
397,2004,NEW JERSEY,CORN,143
398,2005,NEW JERSEY,CORN,122
399,2006,NEW JERSEY,CORN,129
400,2007,NEW JERSEY,CORN,124
401,2008,NEW JERSEY,CORN,116
402,2009,NEW JERSEY,CORN,143
403,2010,NEW JERSEY,CORN,114
404,2011,NEW JERSEY,CORN,123
405,2012,NEW JERSEY,CORN,118
406,2013,NEW JERSEY,CORN,139
407,2014,NEW JERSEY,CORN,157
408,2015,NEW JERSEY,CORN,147
409,2017,NEW JERSEY,CORN,167
410,2018,NEW JERSEY,CORN,141
411,2019,NEW JERSEY,CORN,155
412,2020,NEW JERSEY,CORN,156
413,2021,NEW JERSEY,CORN,163
414,2003,NEW MEXICO,CORN,180
415,2004,NEW MEXICO,CORN,180
416,2005,NEW MEXICO,CORN,175
417,2006,NEW MEXICO,CORN,185
418,2007,NEW MEXICO,CORN,180
419,2008,NEW MEXICO,CORN,185
420,2009,NEW MEXICO,CORN,190
421,2010,NEW MEXICO,CORN,180
422,2011,NEW MEXICO,CORN,180
423,2012,NEW MEXICO,CORN,170
424,2013,NEW MEXICO,CORN,190
425,2014,NEW MEXICO,CORN,195
426,2015,NEW MEXICO,CORN,180
427,2017,NEW MEXICO,CORN,134
428,2018,NEW MEXICO,CORN,187
429,2019,NEW MEXICO,CORN,135
430,2020,NEW MEXICO,CORN,195
431,2021,NEW MEXICO,CORN,184
432,2003,NEW YORK,CORN,121
433,2004,NEW YORK,CORN,122
434,2005,NEW YORK,CORN,124
435,2006,NEW YORK,CORN,129
436,2007,NEW YORK,CORN,128
437,2008,NEW YORK,CORN,144
438,2009,NEW YORK,CORN,134
439,2010,NEW YORK,CORN,149
440,2011,NEW YORK,CORN,133
441,2012,NEW YORK,CORN,134
442,2013,NEW YORK,CORN,137
443,2014,NEW YORK,CORN,148
444,2015,NEW YORK,CORN,143
445,2017,NEW YORK,CORN,161
446,2018,NEW YORK,CORN,159
447,2019,NEW YORK,CORN,158
448,2020,NEW YORK,CORN,157
449,2021,NEW YORK,CORN,167
450,2003,NORTH CAROLINA,CORN,106
451,2004,NORTH CAROLINA,CORN,117
452,2005,NORTH CAROLINA,CORN,120
453,2006,NORTH CAROLINA,CORN,132
454,2007,NORTH CAROLINA,CORN,100
455,2008,NORTH CAROLINA,CORN,78
456,2009,NORTH CAROLINA,CORN,117
457,2010,NORTH CAROLINA,CORN,91
458,2011,NORTH CAROLINA,CORN,84
459,2012,NORTH CAROLINA,CORN,117
460,2013,NORTH CAROLINA,CORN,142
461,2014,NORTH CAROLINA,CORN,132
462,2015,NORTH CAROLINA,CORN,113
463,2017,NORTH CAROLINA,CORN,142
464,2018,NORTH CAROLINA,CORN,113
465,2019,NORTH CAROLINA,CORN,111
466,2020,NORTH CAROLINA,CORN,113
467,2021,NORTH CAROLINA,CORN,149
468,2003,NORTH DAKOTA,CORN,112
469,2004,NORTH DAKOTA,CORN,105
470,2005,NORTH DAKOTA,CORN,129
471,2006,NORTH DAKOTA,CORN,111
472,2007,NORTH DAKOTA,CORN,116
473,2008,NORTH DAKOTA,CORN,124
474,2009,NORTH DAKOTA,CORN,115
475,2010,NORTH DAKOTA,CORN,132
476,2011,NORTH DAKOTA,CORN,105
477,2012,NORTH DAKOTA,CORN,122
478,2013,NORTH DAKOTA,CORN,110
479,2014,NORTH DAKOTA,CORN,124
480,2015,NORTH DAKOTA,CORN,128
481,2017,NORTH DAKOTA,CORN,139
482,2018,NORTH DAKOTA,CORN,153
483,2019,NORTH DAKOTA,CORN,131
484,2020,NORTH DAKOTA,CORN,139
485,2021,NORTH DAKOTA,CORN,105
486,2003,OHIO,CORN,156
487,2004,OHIO,CORN,158
488,2005,OHIO,CORN,143
489,2006,OHIO,CORN,159
490,2007,OHIO,CORN,150
491,2008,OHIO,CORN,131
492,2009,OHIO,CORN,171
493,2010,OHIO,CORN,160
494,2011,OHIO,CORN,153
495,2012,OHIO,CORN,120
496,2013,OHIO,CORN,174
497,2014,OHIO,CORN,176
498,2015,OHIO,CORN,153
499,2017,OHIO,CORN,177
500,2018,OHIO,CORN,187
501,2019,OHIO,CORN,164
502,2020,OHIO,CORN,171
503,2021,OHIO,CORN,193
504,2003,OKLAHOMA,CORN,125
505,2004,OKLAHOMA,CORN,150
506,2005,OKLAHOMA,CORN,115
507,2006,OKLAHOMA,CORN,105
508,2007,OKLAHOMA,CORN,145
509,2008,OKLAHOMA,CORN,110
510,2009,OKLAHOMA,CORN,105
511,2010,OKLAHOMA,CORN,128
512,2011,OKLAHOMA,CORN,92
513,2012,OKLAHOMA,CORN,110
514,2013,OKLAHOMA,CORN,145
515,2014,OKLAHOMA,CORN,147
516,2015,OKLAHOMA,CORN,129
517,2017,OKLAHOMA,CORN,126
518,2018,OKLAHOMA,CORN,134
519,2019,OKLAHOMA,CORN,137
520,2020,OKLAHOMA,CORN,135
521,2021,OKLAHOMA,CORN,150
522,2003,OREGON,CORN,170
523,2004,OREGON,CORN,170
524,2005,OREGON,CORN,160
525,2006,OREGON,CORN,180
526,2007,OREGON,CORN,200
527,2008,OREGON,CORN,195
528,2009,OREGON,CORN,215
529,2010,OREGON,CORN,200
530,2011,OREGON,CORN,215
531,2012,OREGON,CORN,205
532,2013,OREGON,CORN,188
533,2014,OREGON,CORN,190
534,2015,OREGON,CORN,188
535,2017,OREGON,CORN,212
536,2018,OREGON,CORN,195
537,2019,OREGON,CORN,237
538,2020,OREGON,CORN,241
539,2021,OREGON,CORN,240
540,2015,OTHER STATES,CORN,0
541,2017,OTHER STATES,CORN,0
542,2018,OTHER STATES,CORN,0
543,2020,OTHER STATES,CORN,0
544,2003,PENNSYLVANIA,CORN,115
545,2004,PENNSYLVANIA,CORN,140
546,2005,PENNSYLVANIA,CORN,122
547,2006,PENNSYLVANIA,CORN,122
548,2007,PENNSYLVANIA,CORN,124
549,2008,PENNSYLVANIA,CORN,133
550,2009,PENNSYLVANIA,CORN,142
551,2010,PENNSYLVANIA,CORN,128
552,2011,PENNSYLVANIA,CORN,111
553,2012,PENNSYLVANIA,CORN,131
554,2013,PENNSYLVANIA,CORN,146
555,2014,PENNSYLVANIA,CORN,154
556,2015,PENNSYLVANIA,CORN,147
557,2017,PENNSYLVANIA,CORN,161
558,2018,PENNSYLVANIA,CORN,140
559,2019,PENNSYLVANIA,CORN,153
560,2020,PENNSYLVANIA,CORN,138
561,2021,PENNSYLVANIA,CORN,169
562,2003,SOUTH CAROLINA,CORN,105
563,2004,SOUTH CAROLINA,CORN,100
564,2005,SOUTH CAROLINA,CORN,114
565,2006,SOUTH CAROLINA,CORN,110
566,2007,SOUTH CAROLINA,CORN,97
567,2008,SOUTH CAROLINA,CORN,63
568,2009,SOUTH CAROLINA,CORN,111
569,2010,SOUTH CAROLINA,CORN,84
570,2011,SOUTH CAROLINA,CORN,65
571,2012,SOUTH CAROLINA,CORN,122
572,2013,SOUTH CAROLINA,CORN,129
573,2014,SOUTH CAROLINA,CORN,117
574,2015,SOUTH CAROLINA,CORN,93
575,2017,SOUTH CAROLINA,CORN,136
576,2018,SOUTH CAROLINA,CORN,127
577,2019,SOUTH CAROLINA,CORN,106
578,2020,SOUTH CAROLINA,CORN,132
579,2021,SOUTH CAROLINA,CORN,139
580,2003,SOUTH DAKOTA,CORN,111
581,2004,SOUTH DAKOTA,CORN,130
582,2005,SOUTH DAKOTA,CORN,119
583,2006,SOUTH DAKOTA,CORN,97
584,2007,SOUTH DAKOTA,CORN,121
585,2008,SOUTH DAKOTA,CORN,133
586,2009,SOUTH DAKOTA,CORN,151
587,2010,SOUTH DAKOTA,CORN,135
588,2011,SOUTH DAKOTA,CORN,132
589,2012,SOUTH DAKOTA,CORN,101
590,2013,SOUTH DAKOTA,CORN,137
591,2014,SOUTH DAKOTA,CORN,148
592,2015,SOUTH DAKOTA,CORN,159
593,2017,SOUTH DAKOTA,CORN,145
594,2018,SOUTH DAKOTA,CORN,160
595,2019,SOUTH DAKOTA,CORN,144
596,2020,SOUTH DAKOTA,CORN,162
597,2021,SOUTH DAKOTA,CORN,135
598,2003,TENNESSEE,CORN,131
599,2004,TENNESSEE,CORN,140
600,2005,TENNESSEE,CORN,130
601,2006,TENNESSEE,CORN,125
602,2007,TENNESSEE,CORN,106
603,2008,TENNESSEE,CORN,118
604,2009,TENNESSEE,CORN,148
605,2010,TENNESSEE,CORN,117
606,2011,TENNESSEE,CORN,131
607,2012,TENNESSEE,CORN,85
608,2013,TENNESSEE,CORN,156
609,2014,TENNESSEE,CORN,168
610,2015,TENNESSEE,CORN,160
611,2017,TENNESSEE,CORN,171
612,2018,TENNESSEE,CORN,168
613,2019,TENNESSEE,CORN,177
614,2020,TENNESSEE,CORN,170
615,2021,TENNESSEE,CORN,170
616,2003,TEXAS,CORN,118
617,2004,TEXAS,CORN,139
618,2005,TEXAS,CORN,114
619,2006,TEXAS,CORN,121
620,2007,TEXAS,CORN,148
621,2008,TEXAS,CORN,118
622,2009,TEXAS,CORN,124
623,2010,TEXAS,CORN,144
624,2011,TEXAS,CORN,91
625,2012,TEXAS,CORN,129
626,2013,TEXAS,CORN,136
627,2014,TEXAS,CORN,148
628,2015,TEXAS,CORN,135
629,2017,TEXAS,CORN,140
630,2018,TEXAS,CORN,108
631,2019,TEXAS,CORN,133
632,2020,TEXAS,CORN,128
633,2021,TEXAS,CORN,128
634,2003,UTAH,CORN,155
635,2004,UTAH,CORN,155
636,2005,UTAH,CORN,163
637,2006,UTAH,CORN,157
638,2007,UTAH,CORN,150
639,2008,UTAH,CORN,157
640,2009,UTAH,CORN,150
641,2010,UTAH,CORN,178
642,2011,UTAH,CORN,164
643,2012,UTAH,CORN,167
644,2013,UTAH,CORN,170
645,2014,UTAH,CORN,160
646,2015,UTAH,CORN,173
647,2017,UTAH,CORN,176
648,2018,UTAH,CORN,182
649,2019,UTAH,CORN,143
650,2020,UTAH,CORN,149
651,2021,UTAH,CORN,179
652,2003,VIRGINIA,CORN,115
653,2004,VIRGINIA,CORN,145
654,2005,VIRGINIA,CORN,118
655,2006,VIRGINIA,CORN,120
656,2007,VIRGINIA,CORN,86
657,2008,VIRGINIA,CORN,108
658,2009,VIRGINIA,CORN,131
659,2010,VIRGINIA,CORN,67
660,2011,VIRGINIA,CORN,118
661,2012,VIRGINIA,CORN,103
662,2013,VIRGINIA,CORN,154
663,2014,VIRGINIA,CORN,145
664,2015,VIRGINIA,CORN,161
665,2017,VIRGINIA,CORN,140
666,2018,VIRGINIA,CORN,146
667,2019,VIRGINIA,CORN,144
668,2020,VIRGINIA,CORN,122
669,2021,VIRGINIA,CORN,160
670,2003,WASHINGTON,CORN,195
671,2004,WASHINGTON,CORN,200
672,2005,WASHINGTON,CORN,205
673,2006,WASHINGTON,CORN,210
674,2007,WASHINGTON,CORN,210
675,2008,WASHINGTON,CORN,205
676,2009,WASHINGTON,CORN,215
677,2010,WASHINGTON,CORN,205
678,2011,WASHINGTON,CORN,225
679,2012,WASHINGTON,CORN,215
680,2013,WASHINGTON,CORN,215
681,2014,WASHINGTON,CORN,215
682,2015,WASHINGTON,CORN,215
683,2017,WASHINGTON,CORN,225
684,2018,WASHINGTON,CORN,220
685,2019,WASHINGTON,CORN,237
686,2020,WASHINGTON,CORN,228
687,2021,WASHINGTON,CORN,248
688,2003,WEST VIRGINIA,CORN,115
689,2004,WEST VIRGINIA,CORN,131
690,2005,WEST VIRGINIA,CORN,109
691,2006,WEST VIRGINIA,CORN,120
692,2007,WEST VIRGINIA,CORN,111
693,2008,WEST VIRGINIA,CORN,130
694,2009,WEST VIRGINIA,CORN,126
695,2010,WEST VIRGINIA,CORN,90
696,2011,WEST VIRGINIA,CORN,114
697,2012,WEST VIRGINIA,CORN,128
698,2013,WEST VIRGINIA,CORN,147
699,2014,WEST VIRGINIA,CORN,149
700,2015,WEST VIRGINIA,CORN,148
701,2017,WEST VIRGINIA,CORN,152
702,2018,WEST VIRGINIA,CORN,152
703,2019,WEST VIRGINIA,CORN,165
704,2020,WEST VIRGINIA,CORN,144
705,2021,WEST VIRGINIA,CORN,144
706,2003,WISCONSIN,CORN,129
707,2004,WISCONSIN,CORN,136
708,2005,WISCONSIN,CORN,148
709,2006,WISCONSIN,CORN,143
710,2007,WISCONSIN,CORN,135
711,2008,WISCONSIN,CORN,137
712,2009,WISCONSIN,CORN,153
713,2010,WISCONSIN,CORN,162
714,2011,WISCONSIN,CORN,155
715,2012,WISCONSIN,CORN,120
716,2013,WISCONSIN,CORN,145
717,2014,WISCONSIN,CORN,156
718,2015,WISCONSIN,CORN,164
719,2017,WISCONSIN,CORN,174
720,2018,WISCONSIN,CORN,172
721,2019,WISCONSIN,CORN,166
722,2020,WISCONSIN,CORN,173
723,2021,WISCONSIN,CORN,180
724,2003,WYOMING,CORN,129
725,2004,WYOMING,CORN,131
726,2005,WYOMING,CORN,140
727,2006,WYOMING,CORN,129
728,2007,WYOMING,CORN,129
729,2008,WYOMING,CORN,134
730,2009,WYOMING,CORN,140
731,2010,WYOMING,CORN,123
732,2011,WYOMING,CORN,130
733,2012,WYOMING,CORN,142
734,2013,WYOMING,CORN,127
735,2014,WYOMING,CORN,138
736,2015,WYOMING,CORN,159
737,2017,WYOMING,CORN,155
738,2018,WYOMING,CORN,164
739,2019,WYOMING,CORN,123
740,2020,WYOMING,CORN,122
741,2021,WYOMING,CORN,132
