,YEAR,STATE,COMMODITY,YIELD
213,2013,KENTUCKY,SOYBEANS,50
214,2014,KENTUCKY,SOYBEANS,47.5
215,2015,KENTUCKY,SOYBEANS,49
216,2016,KENTUCKY,SOYBEANS,50
217,2017,KENTUCKY,SOYBEANS,53
218,2018,KENTUCKY,SOYBEANS,51
219,2019,KENTUCKY,SOYBEANS,46
220,2020,KENTUCKY,SOYBEANS,55
221,2021,KENTUCKY,SOYBEANS,56
222,2022,KENTUCKY,SOYBEANS,54
223,2000,LOUISIANA,SOYBEANS,24
224,2001,LOUISIANA,SOYBEANS,33
225,2002,LOUISIANA,SOYBEANS,32
226,2003,LOUISIANA,SOYBEANS,34
227,2004,LOUISIANA,SOYBEANS,33
228,2005,LOUISIANA,SOYBEANS,34
229,2006,LOUISIANA,SOYBEANS,36
230,2007,LOUISIANA,SOYBEANS,43
231,2008,LOUISIANA,SOYBEANS,33
232,2009,LOUISIANA,SOYBEANS,39
233,2010,LOUISIANA,SOYBEANS,41
234,2011,LOUISIANA,SOYBEANS,36
235,2012,LOUISIANA,SOYBEANS,46.5
236,2013,LOUISIANA,SOYBEANS,48.5
237,2014,LOUISIANA,SOYBEANS,56.5
238,2015,LOUISIANA,SOYBEANS,41
239,2016,LOUISIANA,SOYBEANS,48.5
240,2017,LOUISIANA,SOYBEANS,54
241,2018,LOUISIANA,SOYBEANS,51.5
242,2019,LOUISIANA,SOYBEANS,48
243,2020,LOUISIANA,SOYBEANS,53
244,2021,LOUISIANA,SOYBEANS,52
245,2022,LOUISIANA,SOYBEANS,52
246,2000,MARYLAND,SOYBEANS,43
247,2001,MARYLAND,SOYBEANS,39
248,2002,MARYLAND,SOYBEANS,23
249,2003,MARYLAND,SOYBEANS,37
250,2004,MARYLAND,SOYBEANS,43
251,2005,MARYLAND,SOYBEANS,34
252,2006,MARYLAND,SOYBEANS,34
253,2007,MARYLAND,SOYBEANS,27.5
254,2008,MARYLAND,SOYBEANS,30
255,2009,MARYLAND,SOYBEANS,42
256,2010,MARYLAND,SOYBEANS,34
257,2011,MARYLAND,SOYBEANS,39
258,2012,MARYLAND,SOYBEANS,47
259,2013,MARYLAND,SOYBEANS,39.5
260,2014,MARYLAND,SOYBEANS,46
261,2015,MARYLAND,SOYBEANS,40
262,2016,MARYLAND,SOYBEANS,41.5
263,2017,MARYLAND,SOYBEANS,51
264,2018,MARYLAND,SOYBEANS,47.5
265,2019,MARYLAND,SOYBEANS,44
266,2020,MARYLAND,SOYBEANS,47
267,2021,MARYLAND,SOYBEANS,53
268,2022,MARYLAND,SOYBEANS,53
269,2000,MICHIGAN,SOYBEANS,36
270,2001,MICHIGAN,SOYBEANS,30
271,2002,MICHIGAN,SOYBEANS,38.5
272,2003,MICHIGAN,SOYBEANS,27.5
273,2004,MICHIGAN,SOYBEANS,38
274,2005,MICHIGAN,SOYBEANS,38.5
275,2006,MICHIGAN,SOYBEANS,46
276,2007,MICHIGAN,SOYBEANS,40
277,2008,MICHIGAN,SOYBEANS,37
278,2009,MICHIGAN,SOYBEANS,40
279,2010,MICHIGAN,SOYBEANS,43.5
280,2011,MICHIGAN,SOYBEANS,44.5
281,2012,MICHIGAN,SOYBEANS,43
282,2013,MICHIGAN,SOYBEANS,44.5
283,2014,MICHIGAN,SOYBEANS,42.5
284,2015,MICHIGAN,SOYBEANS,49
285,2016,MICHIGAN,SOYBEANS,50.5
286,2017,MICHIGAN,SOYBEANS,42.5
287,2018,MICHIGAN,SOYBEANS,47.5
288,2019,MICHIGAN,SOYBEANS,40.5
289,2020,MICHIGAN,SOYBEANS,48
290,2021,MICHIGAN,SOYBEANS,51
291,2022,MICHIGAN,SOYBEANS,47
292,2000,MINNESOTA,SOYBEANS,41
293,2001,MINNESOTA,SOYBEANS,37
294,2002,MINNESOTA,SOYBEANS,43.5
295,2003,MINNESOTA,SOYBEANS,32
296,2004,MINNESOTA,SOYBEANS,33
297,2005,MINNESOTA,SOYBEANS,45.5
298,2006,MINNESOTA,SOYBEANS,44.5
299,2007,MINNESOTA,SOYBEANS,42.5
300,2008,MINNESOTA,SOYBEANS,38
301,2009,MINNESOTA,SOYBEANS,40
302,2010,MINNESOTA,SOYBEANS,45
303,2011,MINNESOTA,SOYBEANS,39
304,2012,MINNESOTA,SOYBEANS,43.5
305,2013,MINNESOTA,SOYBEANS,42
306,2014,MINNESOTA,SOYBEANS,41.5
307,2015,MINNESOTA,SOYBEANS,50
308,2016,MINNESOTA,SOYBEANS,52
309,2017,MINNESOTA,SOYBEANS,47.5
310,2018,MINNESOTA,SOYBEANS,49
311,2019,MINNESOTA,SOYBEANS,44
312,2020,MINNESOTA,SOYBEANS,50
313,2021,MINNESOTA,SOYBEANS,47
314,2022,MINNESOTA,SOYBEANS,50
315,2000,MISSISSIPPI,SOYBEANS,22
316,2001,MISSISSIPPI,SOYBEANS,33
317,2002,MISSISSIPPI,SOYBEANS,32
318,2003,MISSISSIPPI,SOYBEANS,39
319,2004,MISSISSIPPI,SOYBEANS,37.5
320,2005,MISSISSIPPI,SOYBEANS,36.5
321,2006,MISSISSIPPI,SOYBEANS,26
322,2007,MISSISSIPPI,SOYBEANS,40.5
323,2008,MISSISSIPPI,SOYBEANS,40
324,2009,MISSISSIPPI,SOYBEANS,38
325,2010,MISSISSIPPI,SOYBEANS,38.5
326,2011,MISSISSIPPI,SOYBEANS,39
327,2012,MISSISSIPPI,SOYBEANS,45
328,2013,MISSISSIPPI,SOYBEANS,46
329,2014,MISSISSIPPI,SOYBEANS,52
330,2015,MISSISSIPPI,SOYBEANS,46
331,2016,MISSISSIPPI,SOYBEANS,48
332,2017,MISSISSIPPI,SOYBEANS,53
333,2018,MISSISSIPPI,SOYBEANS,54
334,2019,MISSISSIPPI,SOYBEANS,50
335,2020,MISSISSIPPI,SOYBEANS,54
336,2021,MISSISSIPPI,SOYBEANS,54
337,2022,MISSISSIPPI,SOYBEANS,55
338,2000,MISSOURI,SOYBEANS,35
339,2001,MISSOURI,SOYBEANS,38
340,2002,MISSOURI,SOYBEANS,34
341,2003,MISSOURI,SOYBEANS,29.5
342,2004,MISSOURI,SOYBEANS,45
343,2005,MISSOURI,SOYBEANS,37
344,2006,MISSOURI,SOYBEANS,38
345,2007,MISSOURI,SOYBEANS,37.5
346,2008,MISSOURI,SOYBEANS,38
347,2009,MISSOURI,SOYBEANS,43.5
348,2010,MISSOURI,SOYBEANS,41.5
349,2011,MISSOURI,SOYBEANS,36.5
350,2012,MISSOURI,SOYBEANS,30
351,2013,MISSOURI,SOYBEANS,36
352,2014,MISSOURI,SOYBEANS,46.5
353,2015,MISSOURI,SOYBEANS,40.5
354,2016,MISSOURI,SOYBEANS,49
355,2017,MISSOURI,SOYBEANS,49.5
356,2018,MISSOURI,SOYBEANS,44.5
357,2019,MISSOURI,SOYBEANS,46
358,2020,MISSOURI,SOYBEANS,51
359,2021,MISSOURI,SOYBEANS,49
360,2022,MISSOURI,SOYBEANS,49
361,2000,NEBRASKA,SOYBEANS,38
362,2001,NEBRASKA,SOYBEANS,45.5
363,2002,NEBRASKA,SOYBEANS,38.5
364,2003,NEBRASKA,SOYBEANS,40.5
365,2004,NEBRASKA,SOYBEANS,46
366,2005,NEBRASKA,SOYBEANS,50.5
367,2006,NEBRASKA,SOYBEANS,50
368,2007,NEBRASKA,SOYBEANS,51
369,2008,NEBRASKA,SOYBEANS,46.5
370,2009,NEBRASKA,SOYBEANS,54.5
371,2010,NEBRASKA,SOYBEANS,52.5
372,2011,NEBRASKA,SOYBEANS,54
373,2012,NEBRASKA,SOYBEANS,41.5
374,2013,NEBRASKA,SOYBEANS,53.5
375,2014,NEBRASKA,SOYBEANS,54
376,2015,NEBRASKA,SOYBEANS,58
377,2016,NEBRASKA,SOYBEANS,61
378,2017,NEBRASKA,SOYBEANS,57.5
379,2018,NEBRASKA,SOYBEANS,58
380,2019,NEBRASKA,SOYBEANS,58.5
381,2020,NEBRASKA,SOYBEANS,58
382,2021,NEBRASKA,SOYBEANS,63
383,2022,NEBRASKA,SOYBEANS,55
384,2000,NEW JERSEY,SOYBEANS,40
385,2001,NEW JERSEY,SOYBEANS,31
386,2002,NEW JERSEY,SOYBEANS,24
387,2003,NEW JERSEY,SOYBEANS,34
388,2004,NEW JERSEY,SOYBEANS,42
389,2005,NEW JERSEY,SOYBEANS,28
390,2006,NEW JERSEY,SOYBEANS,35
391,2007,NEW JERSEY,SOYBEANS,31
392,2008,NEW JERSEY,SOYBEANS,30
393,2009,NEW JERSEY,SOYBEANS,42
394,2010,NEW JERSEY,SOYBEANS,24
395,2011,NEW JERSEY,SOYBEANS,38
396,2012,NEW JERSEY,SOYBEANS,39
397,2013,NEW JERSEY,SOYBEANS,39.5
398,2014,NEW JERSEY,SOYBEANS,44
399,2015,NEW JERSEY,SOYBEANS,32
400,2016,NEW JERSEY,SOYBEANS,36
401,2017,NEW JERSEY,SOYBEANS,45
402,2018,NEW JERSEY,SOYBEANS,39.5
403,2019,NEW JERSEY,SOYBEANS,37
404,2020,NEW JERSEY,SOYBEANS,46
405,2021,NEW JERSEY,SOYBEANS,46
406,2022,NEW JERSEY,SOYBEANS,36
407,2000,NEW YORK,SOYBEANS,33
408,2001,NEW YORK,SOYBEANS,33
409,2002,NEW YORK,SOYBEANS,32
410,2003,NEW YORK,SOYBEANS,35
411,2004,NEW YORK,SOYBEANS,39
412,2005,NEW YORK,SOYBEANS,42
413,2006,NEW YORK,SOYBEANS,46
414,2007,NEW YORK,SOYBEANS,39
415,2008,NEW YORK,SOYBEANS,46
416,2009,NEW YORK,SOYBEANS,43
417,2010,NEW YORK,SOYBEANS,48
418,2011,NEW YORK,SOYBEANS,43
419,2012,NEW YORK,SOYBEANS,46
420,2013,NEW YORK,SOYBEANS,48
421,2014,NEW YORK,SOYBEANS,44.5
422,2015,NEW YORK,SOYBEANS,43
423,2016,NEW YORK,SOYBEANS,41
424,2017,NEW YORK,SOYBEANS,45
425,2018,NEW YORK,SOYBEANS,52
426,2019,NEW YORK,SOYBEANS,48
427,2020,NEW YORK,SOYBEANS,51
428,2021,NEW YORK,SOYBEANS,53
429,2022,NEW YORK,SOYBEANS,51
430,2000,NORTH CAROLINA,SOYBEANS,32.5
431,2001,NORTH CAROLINA,SOYBEANS,32
432,2002,NORTH CAROLINA,SOYBEANS,24
433,2003,NORTH CAROLINA,SOYBEANS,30
434,2004,NORTH CAROLINA,SOYBEANS,34
435,2005,NORTH CAROLINA,SOYBEANS,27
436,2006,NORTH CAROLINA,SOYBEANS,32
437,2007,NORTH CAROLINA,SOYBEANS,22
438,2008,NORTH CAROLINA,SOYBEANS,33
439,2009,NORTH CAROLINA,SOYBEANS,34
440,2010,NORTH CAROLINA,SOYBEANS,26
441,2011,NORTH CAROLINA,SOYBEANS,30.5
442,2012,NORTH CAROLINA,SOYBEANS,39.5
443,2013,NORTH CAROLINA,SOYBEANS,33.5
444,2014,NORTH CAROLINA,SOYBEANS,40
445,2015,NORTH CAROLINA,SOYBEANS,32
446,2016,NORTH CAROLINA,SOYBEANS,35
447,2017,NORTH CAROLINA,SOYBEANS,40
448,2018,NORTH CAROLINA,SOYBEANS,33
449,2019,NORTH CAROLINA,SOYBEANS,35
450,2020,NORTH CAROLINA,SOYBEANS,38
451,2021,NORTH CAROLINA,SOYBEANS,40
452,2022,NORTH CAROLINA,SOYBEANS,37
453,2000,NORTH DAKOTA,SOYBEANS,32
454,2001,NORTH DAKOTA,SOYBEANS,33.5
455,2002,NORTH DAKOTA,SOYBEANS,33
456,2003,NORTH DAKOTA,SOYBEANS,29
457,2004,NORTH DAKOTA,SOYBEANS,23
458,2005,NORTH DAKOTA,SOYBEANS,36.5
459,2006,NORTH DAKOTA,SOYBEANS,31.5
460,2007,NORTH DAKOTA,SOYBEANS,35.5
461,2008,NORTH DAKOTA,SOYBEANS,28
462,2009,NORTH DAKOTA,SOYBEANS,30
463,2010,NORTH DAKOTA,SOYBEANS,34
464,2011,NORTH DAKOTA,SOYBEANS,29
465,2012,NORTH DAKOTA,SOYBEANS,34.5
466,2013,NORTH DAKOTA,SOYBEANS,30.5
467,2014,NORTH DAKOTA,SOYBEANS,34.5
468,2015,NORTH DAKOTA,SOYBEANS,32.5
469,2016,NORTH DAKOTA,SOYBEANS,41.5
470,2017,NORTH DAKOTA,SOYBEANS,34.5
471,2018,NORTH DAKOTA,SOYBEANS,35
472,2019,NORTH DAKOTA,SOYBEANS,31.5
473,2020,NORTH DAKOTA,SOYBEANS,34
474,2021,NORTH DAKOTA,SOYBEANS,25.5
475,2022,NORTH DAKOTA,SOYBEANS,35
476,2000,OHIO,SOYBEANS,42
477,2001,OHIO,SOYBEANS,41
478,2002,OHIO,SOYBEANS,32
479,2003,OHIO,SOYBEANS,38.5
480,2004,OHIO,SOYBEANS,47
481,2005,OHIO,SOYBEANS,45
482,2006,OHIO,SOYBEANS,47
483,2007,OHIO,SOYBEANS,47
484,2008,OHIO,SOYBEANS,36
485,2009,OHIO,SOYBEANS,49
486,2010,OHIO,SOYBEANS,48
487,2011,OHIO,SOYBEANS,48
488,2012,OHIO,SOYBEANS,45
489,2013,OHIO,SOYBEANS,49.5
490,2014,OHIO,SOYBEANS,52.5
491,2015,OHIO,SOYBEANS,50
492,2016,OHIO,SOYBEANS,54.5
493,2017,OHIO,SOYBEANS,49.5
494,2018,OHIO,SOYBEANS,56
495,2019,OHIO,SOYBEANS,49
496,2020,OHIO,SOYBEANS,55
497,2021,OHIO,SOYBEANS,56.5
498,2022,OHIO,SOYBEANS,57
499,2000,OKLAHOMA,SOYBEANS,15
500,2001,OKLAHOMA,SOYBEANS,19
501,2002,OKLAHOMA,SOYBEANS,26
502,2003,OKLAHOMA,SOYBEANS,26
503,2004,OKLAHOMA,SOYBEANS,30
504,2005,OKLAHOMA,SOYBEANS,26
505,2006,OKLAHOMA,SOYBEANS,17
506,2007,OKLAHOMA,SOYBEANS,26
507,2008,OKLAHOMA,SOYBEANS,25
508,2009,OKLAHOMA,SOYBEANS,31
509,2010,OKLAHOMA,SOYBEANS,25
510,2011,OKLAHOMA,SOYBEANS,13
511,2012,OKLAHOMA,SOYBEANS,15
512,2013,OKLAHOMA,SOYBEANS,30.5
513,2014,OKLAHOMA,SOYBEANS,28
514,2015,OKLAHOMA,SOYBEANS,31
515,2016,OKLAHOMA,SOYBEANS,29
516,2017,OKLAHOMA,SOYBEANS,29
517,2018,OKLAHOMA,SOYBEANS,28
518,2019,OKLAHOMA,SOYBEANS,29
519,2020,OKLAHOMA,SOYBEANS,30
520,2021,OKLAHOMA,SOYBEANS,23
521,2022,OKLAHOMA,SOYBEANS,19
522,2015,OTHER STATES,SOYBEANS,0
523,2016,OTHER STATES,SOYBEANS,0
524,2017,OTHER STATES,SOYBEANS,0
525,2018,OTHER STATES,SOYBEANS,0
526,2000,PENNSYLVANIA,SOYBEANS,43
527,2001,PENNSYLVANIA,SOYBEANS,35
528,2002,PENNSYLVANIA,SOYBEANS,26
529,2003,PENNSYLVANIA,SOYBEANS,41
530,2004,PENNSYLVANIA,SOYBEANS,46
531,2005,PENNSYLVANIA,SOYBEANS,41
532,2006,PENNSYLVANIA,SOYBEANS,40
533,2007,PENNSYLVANIA,SOYBEANS,41
534,2008,PENNSYLVANIA,SOYBEANS,40
535,2009,PENNSYLVANIA,SOYBEANS,46
536,2010,PENNSYLVANIA,SOYBEANS,42
537,2011,PENNSYLVANIA,SOYBEANS,44
538,2012,PENNSYLVANIA,SOYBEANS,48
539,2013,PENNSYLVANIA,SOYBEANS,49
540,2014,PENNSYLVANIA,SOYBEANS,49
541,2015,PENNSYLVANIA,SOYBEANS,44
542,2016,PENNSYLVANIA,SOYBEANS,44
543,2017,PENNSYLVANIA,SOYBEANS,48
544,2018,PENNSYLVANIA,SOYBEANS,44.5
545,2019,PENNSYLVANIA,SOYBEANS,49
546,2020,PENNSYLVANIA,SOYBEANS,46
547,2021,PENNSYLVANIA,SOYBEANS,53
548,2022,PENNSYLVANIA,SOYBEANS,50
549,2000,SOUTH CAROLINA,SOYBEANS,25
550,2001,SOUTH CAROLINA,SOYBEANS,21
551,2002,SOUTH CAROLINA,SOYBEANS,17
552,2003,SOUTH CAROLINA,SOYBEANS,28
553,2004,SOUTH CAROLINA,SOYBEANS,27
554,2005,SOUTH CAROLINA,SOYBEANS,20.5
555,2006,SOUTH CAROLINA,SOYBEANS,29
556,2007,SOUTH CAROLINA,SOYBEANS,18.5
557,2008,SOUTH CAROLINA,SOYBEANS,32
558,2009,SOUTH CAROLINA,SOYBEANS,24.5
559,2010,SOUTH CAROLINA,SOYBEANS,23
560,2011,SOUTH CAROLINA,SOYBEANS,25.5
561,2012,SOUTH CAROLINA,SOYBEANS,34
562,2013,SOUTH CAROLINA,SOYBEANS,28.5
563,2014,SOUTH CAROLINA,SOYBEANS,35
564,2015,SOUTH CAROLINA,SOYBEANS,26.5
565,2016,SOUTH CAROLINA,SOYBEANS,31
566,2017,SOUTH CAROLINA,SOYBEANS,38
567,2018,SOUTH CAROLINA,SOYBEANS,29
568,2019,SOUTH CAROLINA,SOYBEANS,26
569,2020,SOUTH CAROLINA,SOYBEANS,35
570,2021,SOUTH CAROLINA,SOYBEANS,38
571,2022,SOUTH CAROLINA,SOYBEANS,35
572,2000,SOUTH DAKOTA,SOYBEANS,35
573,2001,SOUTH DAKOTA,SOYBEANS,32
574,2002,SOUTH DAKOTA,SOYBEANS,31
575,2003,SOUTH DAKOTA,SOYBEANS,27.5
576,2004,SOUTH DAKOTA,SOYBEANS,34
577,2005,SOUTH DAKOTA,SOYBEANS,35
578,2006,SOUTH DAKOTA,SOYBEANS,34
579,2007,SOUTH DAKOTA,SOYBEANS,42
580,2008,SOUTH DAKOTA,SOYBEANS,34
581,2009,SOUTH DAKOTA,SOYBEANS,42
582,2010,SOUTH DAKOTA,SOYBEANS,38
583,2011,SOUTH DAKOTA,SOYBEANS,37
584,2012,SOUTH DAKOTA,SOYBEANS,30.5
585,2013,SOUTH DAKOTA,SOYBEANS,40.5
586,2014,SOUTH DAKOTA,SOYBEANS,45
587,2015,SOUTH DAKOTA,SOYBEANS,46
588,2016,SOUTH DAKOTA,SOYBEANS,49.5
589,2017,SOUTH DAKOTA,SOYBEANS,43
590,2018,SOUTH DAKOTA,SOYBEANS,45
